Source      ,Target       ,category        ,Weight
PA166049147 ,PA444797     ,ASSOCIATED_WITH ,     1
PA166049147 ,PA444903     ,ASSOCIATED_WITH ,     1
PA130       ,PA443319     ,ASSOCIATED_WITH ,     1
PA130       ,DOID:2055    ,ASSOCIATED_WITH ,     1
PA130       ,DOID:302     ,ASSOCIATED_WITH ,     1
PA130       ,PA443815     ,ASSOCIATED_WITH ,     1
PA130       ,DOID:6364    ,ASSOCIATED_WITH ,     1
PA130       ,DOID:9201    ,ASSOCIATED_WITH ,     1
PA130       ,DOID:3324    ,ASSOCIATED_WITH ,     1
PA130       ,DOID:3223    ,ASSOCIATED_WITH ,     1
PA130       ,PA447199     ,ASSOCIATED_WITH ,     1
PA130       ,PA447198     ,ASSOCIATED_WITH ,     1
PA130       ,PA443750     ,ASSOCIATED_WITH ,     1
PA130       ,DOID:6195    ,ASSOCIATED_WITH ,     1
PA130       ,PA447196     ,ASSOCIATED_WITH ,     1
PA130       ,DOID:14320   ,ASSOCIATED_WITH ,     1
PA130       ,DOID:11328   ,ASSOCIATED_WITH ,     1
PA130       ,PA446512     ,ASSOCIATED_WITH ,     1
PA130       ,PA443853     ,ASSOCIATED_WITH ,     1
PA130       ,PA446477     ,ASSOCIATED_WITH ,     1
PA130       ,PA444823     ,ASSOCIATED_WITH ,     1
PA130       ,PA447213     ,ASSOCIATED_WITH ,     1
PA130       ,PA446861     ,ASSOCIATED_WITH ,     1
PA130       ,PA445089     ,ASSOCIATED_WITH ,     1
PA130       ,PA166123368  ,ASSOCIATED_WITH ,     1
PA130       ,PA447200     ,ASSOCIATED_WITH ,     1
PA130       ,DOID:150     ,ASSOCIATED_WITH ,     1
PA130       ,PA445004     ,ASSOCIATED_WITH ,     1
PA130       ,PA447211     ,ASSOCIATED_WITH ,     1
PA130       ,PA443879     ,ASSOCIATED_WITH ,     1
PA130       ,PA445301     ,ASSOCIATED_WITH ,     1
PA109       ,PA443829     ,ASSOCIATED_WITH ,     1
PA134963132 ,DOID:0060192 ,ASSOCIATED_WITH ,     1
PA134963132 ,PA443815     ,ASSOCIATED_WITH ,     1
PA134963132 ,PA443464     ,ASSOCIATED_WITH ,     1
PA134963132 ,PA446861     ,ASSOCIATED_WITH ,     1
PA134963132 ,PA443434     ,ASSOCIATED_WITH ,     1
PA134963132 ,PA444822     ,ASSOCIATED_WITH ,     1
PA134963132 ,PA444987     ,ASSOCIATED_WITH ,     1
PA134963132 ,PA443750     ,ASSOCIATED_WITH ,     1
PA134963132 ,PA445004     ,ASSOCIATED_WITH ,     1
PA134963132 ,DOID:8924    ,ASSOCIATED_WITH ,     1
