Source,Target,Type,Category
PA153619853,PA451666,Dirigé,interacts with
PA450603,PA450101,Dirigé,interacts with
PA134688071,PA450101,Dirigé,interacts with
14750,PA447196,Dirigé,treats
14750,DOID:4964,Dirigé,treats
14750,PA443879,Dirigé,treats
PA450705,PA449028,Dirigé,interacts with
PA448497,PA444368,Dirigé,treats
PA448948,PA448383,Dirigé,interacts with
PA448497,PA445174,Dirigé,treats
PA448497,PA443434,Dirigé,treats
PA449646,PA448383,Dirigé,interacts with
PA448497,PA444318,Dirigé,treats
PA448497,PA446414,Dirigé,treats
PA448497,PA445552,Dirigé,treats
PA450850,PA450705,Dirigé,interacts with
PA448497,PA451846,Dirigé,interacts with
PA448497,PA443459,Dirigé,treats
PA448497,PA444977,Dirigé,treats
PA448497,DOID:1727,Dirigé,treats
PA451108,PA450705,Dirigé,interacts with
PA448497,DOID:9408,Dirigé,treats
PA450850,PA448383,Dirigé,interacts with
PA451108,PA448383,Dirigé,interacts with
PA450272,PA448383,Dirigé,interacts with
PA450705,PA449841,Dirigé,interacts with
PA450705,PA448964,Dirigé,interacts with
PA448422,PA448785,Dirigé,interacts with
PA449015,PA448964,Dirigé,interacts with
PA153619853,PA448964,Dirigé,interacts with
PA449015,PA449841,Dirigé,interacts with
PA153619853,PA449841,Dirigé,interacts with
00682,PA449293,Dirigé,interacts with
PA451107,PA449841,Dirigé,interacts with
PA449646,PA451209,Dirigé,interacts with
PA448948,PA451209,Dirigé,interacts with
PA450464,PA451112,Dirigé,interacts with
PA448486,PA449841,Dirigé,interacts with
PA449673,PA451112,Dirigé,interacts with
PA450272,PA451868,Dirigé,interacts with
PA450272,PA450132,Dirigé,interacts with
PA448948,PA450850,Dirigé,interacts with
PA449015,PA450965,Dirigé,interacts with
PA164743028,PA450132,Dirigé,interacts with
PA10074,DOID:14320,Dirigé,treats
PA10074,PA449028,Dirigé,interacts with
PA10074,PA447196,Dirigé,treats
PA10074,PA447211,Dirigé,treats
PA10074,DOID:302,Dirigé,treats
PA10074,DOID:2055,Dirigé,treats
PA449646,PA450850,Dirigé,interacts with
PA450705,PA450965,Dirigé,interacts with
PA448948,PA451108,Dirigé,interacts with
PA449646,PA451108,Dirigé,interacts with
PA448486,PA448964,Dirigé,interacts with
PA451107,PA448964,Dirigé,interacts with
PA153619853,PA164742986,Dirigé,interacts with
PA448948,PA451457,Dirigé,interacts with
PA449646,PA451457,Dirigé,interacts with
PA449690,PA166197121,Dirigé,treats
PA448498,PA445999,Dirigé,treats
PA448498,PA449028,Dirigé,interacts with
PA449690,PA450101,Dirigé,interacts with
PA450705,PA164742986,Dirigé,interacts with
PA449015,PA450101,Dirigé,interacts with
PA449690,PA447196,Dirigé,treats
PA449690,DOID:0050432,Dirigé,treats
PA449690,DOID:4964,Dirigé,treats
PA449690,PA447212,Dirigé,treats
PA449015,PA164742986,Dirigé,interacts with
PA449690,PA447211,Dirigé,treats
00682,PA450347,Dirigé,interacts with
PA153619853,PA449015,Dirigé,interacts with
PA450705,PA449015,Dirigé,interacts with
PA448498,DOID:2457,Dirigé,treats
PA448498,DOID:1205,Dirigé,treats
PA10074,DOID:4964,Dirigé,treats
PA448498,DOID:2474,Dirigé,treats
PA153619853,PA450965,Dirigé,interacts with
PA450272,PA449653,Dirigé,interacts with
